,index,Company,Price,Adj Close,low Price,High Price,Volume,returns
266,2020-09-09,AMZN,3268.61,3268.61,3185.0,3303.175,5188675,3.7706677164554385
267,2020-09-08,AMZN,3149.84,3149.84,3130.0,3250.845,6094205,-4.394436991215975
268,2020-09-04,AMZN,3294.62,3294.62,3111.13,3381.5,8781754,-2.178741092636583
269,2020-09-03,AMZN,3368.0,3368.0,3303.0,3488.41,8161113,-4.628410426312133
270,2020-09-02,AMZN,3531.45,3531.45,3486.685,3552.25,3931476,0.9239465922860584
271,2020-09-01,AMZN,3499.12,3499.12,3467.0,3513.87,3476407,1.395553700999138
272,2020-08-31,AMZN,3450.96,3450.96,3405.0,3495.0,4185885,1.4451172908460184
273,2020-08-28,AMZN,3401.8,3401.8,3386.5,3433.3699,2896978,0.052941176470593584
274,2020-08-27,AMZN,3400.0,3400.0,3378.0,3453.0,4264795,-1.2159158592036234
275,2020-08-26,AMZN,3441.85,3441.85,3344.5675,3451.7387,6508743,2.849552815039045
276,2020-08-25,AMZN,3346.49,3346.49,3267.0,3357.4,3992842,1.1800596227921047
277,2020-08-24,AMZN,3307.46,3307.46,3257.5608,3380.315,4666258,0.6922964514479236
278,2020-08-21,AMZN,3284.72,3284.72,3275.39,3314.3962,3575862,-0.38363908205630826
279,2020-08-20,AMZN,3297.37,3297.37,3238.0,3312.62,3332478,1.1314285013249543
280,2020-08-19,AMZN,3260.48,3260.48,3256.0001,3315.9,4185137,-1.5701179475258724
281,2020-08-18,AMZN,3312.49,3312.49,3205.8187,3320.0,5345974,4.0874683023243366
282,2020-08-17,AMZN,3182.41,3182.41,3154.1775,3194.97,2675890,1.0924327037312302
283,2020-08-14,AMZN,3148.02,3148.02,3120.0,3178.2357,2751723,-0.4112596566930927
284,2020-08-13,AMZN,3161.02,3161.02,3155.0,3217.5211,3149043,-0.03858024691357392
285,2020-08-12,AMZN,3162.24,3162.24,3101.42,3174.385,3527229,2.647800640769693
286,2020-08-11,AMZN,3080.67,3080.67,3073.0,3159.22,3718057,-2.1437919292539065
287,2020-08-10,AMZN,3148.16,3148.16,3101.52,3172.51,3167274,-0.6093210332569371
288,2020-08-07,AMZN,3167.46,3167.46,3140.6726,3240.81,3936127,-1.784186046511627
289,2020-08-06,AMZN,3225.0,3225.0,3165.43,3247.47,3940602,0.6230830912659101
290,2020-08-05,AMZN,3205.03,3205.03,3127.3,3213.5859,3930025,2.109066116992646
291,2020-08-04,AMZN,3138.83,3138.83,3101.21,3167.24,4694294,0.8657118342872034
292,2020-08-03,AMZN,3111.89,3111.89,3104.0,3184.0,5074663,-1.6680991443052684
293,2020-07-31,AMZN,3164.68,3164.68,3151.0,3246.82,8083369,3.6960824147738354
294,2020-07-30,AMZN,3051.88,3051.88,3005.0,3092.0,6128265,0.6049058357754796
295,2020-07-29,AMZN,3033.53,3033.53,2996.77,3039.1592,2974060,1.1065449467225363
296,2020-07-28,AMZN,3000.33,3000.33,2995.76,3077.0926,3126651,-1.7962758697438181
297,2020-07-27,AMZN,3055.21,3055.21,3015.77,3098.0,4170492,1.5387632066097086
